# ratedPower, rotorDiameter, ratedQ, blade_mass, Vrated, I1, I2, I3, ratedT, extremeT
5.000000000000000000e+02 6.000000000000000000e+01 2.259242421885132208e+05 2.813499421443798383e+03 8.835287641335371589e+00 1.669172783831445500e+06 8.026624441003343090e+05 6.596947881876846077e+05 1.073698640508834796e+05 3.606118326582288137e+04
5.000000000000000000e+02 6.200000000000000000e+01 2.349555248013989767e+05 2.988599993899069887e+03 8.643890867776612197e+00 1.877378720739081735e+06 9.027833469890546985e+05 7.419824775019211229e+05 1.094443869406880549e+05 3.804054813667886629e+04
5.000000000000000000e+02 6.400000000000000000e+01 2.434037374355085194e+05 3.149618048570130213e+03 8.463040425785903764e+00 2.095243393274254864e+06 1.007548888480090536e+06 8.280875173119781539e+05 1.115147794068100775e+05 3.987846935455489438e+04
5.000000000000000000e+02 6.600000000000000000e+01 2.521405421499834047e+05 3.312562987827751840e+03 8.290921238774032531e+00 2.330051015872593969e+06 1.120461860746240010e+06 9.208887937018927187e+05 1.134426893804425345e+05 4.172918188411208394e+04
5.000000000000000000e+02 6.800000000000000000e+01 2.603433563255858317e+05 3.458628911120292742e+03 8.127561126820626924e+00 2.572557817764019128e+06 1.237077171157857170e+06 1.016732959660922410e+06 1.153512092166119546e+05 4.341858216293541045e+04
5.000000000000000000e+02 7.000000000000000000e+01 2.688895795209211647e+05 3.601197044090028612e+03 7.972014776826005011e+00 2.829225643066933379e+06 1.360502155063153477e+06 1.118173881947669899e+06 1.170902192211099900e+05 4.507338072333594755e+04
5.000000000000000000e+02 7.200000000000000000e+01 2.775097654809495434e+05 3.790680920113812590e+03 7.823670878751149083e+00 3.130196906176623423e+06 1.505231527595256455e+06 1.237124523601419991e+06 1.190796601240676391e+05 4.715690262191459624e+04
5.000000000000000000e+02 7.400000000000000000e+01 2.877904209585638018e+05 4.042164965374518033e+03 7.682056888500654601e+00 3.500804281294766814e+06 1.683447123006005306e+06 1.383596929692391772e+06 1.212016158880566072e+05 4.973768538154716953e+04
5.000000000000000000e+02 7.600000000000000000e+01 3.020120712969625602e+05 4.377933757385064382e+03 7.546713245937247017e+00 3.993502425741831772e+06 1.920373042632978642e+06 1.578322365662772208e+06 1.236744102435482200e+05 5.288103880008203123e+04
5.000000000000000000e+02 7.800000000000000000e+01 3.189638225724024232e+05 4.877897501851934067e+03 7.417123317499115132e+00 4.576907717042325065e+06 2.200917706164713483e+06 1.808897315003018361e+06 1.262343567769014044e+05 5.834347807795200060e+04
